BGC,rSMR_0,rSMR_1,rSMR_2,rSMR_3,rSMR_4,rSMR_5,rSMR_6,rSMR_7
IDFxh21,0,0.5,1,1.5,2.5,4.5,5.5,7.5
IDFxk1,0,0.5,1,1.5,2,4,5.5,7.5
IDFxm1,0,0.5,1,2,2.5,4.5,5.5,7.5
IDFxm_CO1,0,0,0.5,1,2,3.5,5.5,7.5
IDFxw1,0,0.5,1,1.5,2.5,4.5,5.5,7.5
IDFxx_MT1,0,0,0.5,1,1.5,3,5,7
IDFxx_WA1,0,0.5,1.5,2,2.5,4.5,5.5,7.5
IDFxx11,0,0,1,1.5,2,4,5.5,7.5
IDFxx21,0,0,0.5,1.5,2,3.5,5.5,7.5
IGFdk_WA1,1,2,2.5,3,3.5,5,6,8
IGFdw_OR1,1,1.5,2,2.5,3.5,5,6,8
IGFmh_OR1,0,0.5,1,2,2.5,4.5,5.5,7.5
IGFmm_OR1,1,1.5,2.5,3,3.5,5,6,8
IGFxm_OR1,0.5,1,1.5,2,3,4.5,6,8
IMAab1,3,4,4.5,5,6,6.5,8,8
IMAun1,3,4,4.5,5,5.5,6.5,8,8
IMAun_CO1,2,2.5,3.5,4,4.5,6,7,8
IMAun_ID1,2.5,3,3.5,4,5,6,7,8
IMAun_MT1,3,3.5,4,4.5,5.5,6.5,7.5,8
IMAun_OR1,2.5,3,3.5,4,5,6,7,8
IMAun_WA1,2.5,3,3.5,4.5,5,6,7,8
IMAun_WY1,2,3,3.5,4,4.5,6,7,8
IWFdm_CO1,0,0,0.5,1,1.5,3,5,7
IWFdw_OR1,0.5,1,1.5,2,3,4.5,6,8
IWFxk_NV1,0,0.5,1,1.5,2.5,4.5,5.5,7.5
IWFxm_CA1,0,1,1.5,2,2.5,4.5,5.5,7.5
JPWdm_WY1,0,0,0,0.5,1,2.5,4.5,7
JPWdw_UT1,0,0,0,0,0,1.5,4,6.5
JPWwm_CO1,0,0,0,0,0,1.5,4,6.5
JPWxh_CA1,0,0,0,0,0,1,3.5,6
JPWxw_NV1,0,0,0,0,0.5,2,4,6.5
MDCHun_NV1,0,0,0,0,0,1.5,4,6.5
MGPdm1,0,0,0.5,1,1.5,3,5,7
MGPmg1,0,0,1,1.5,2,4,5.5,7.5
MGPmw_MT1,0,0,0,0.5,1,2.5,4.5,7
MHdm_OR1,2,3,3.5,4,4.5,6,7,8
MHds_OR1,2,2.5,3,4,4.5,5.5,7,8
MHds_WA1,2.5,3,3.5,4.5,5,6,7,8
MHmm_WA1,3,3.5,4,4.5,5.5,6.5,7.5,8
MHmm11,3,4,4.5,5,5.5,6.5,8,8
MHmm21,3,3.5,4,5,5.5,6.5,7.5,8
MHmmp1,3,4,4.5,5,5.5,6.5,7.5,8
MHms1,3,3.5,4.5,5,5.5,6.5,7.5,8
MHms_WA1,2.5,3,3.5,4,5,6,7,8
MHmsp1,3,4,4.5,5,5.5,6.5,7.5,8
MHRFdm_OR1,1,2,2.5,3,3.5,5,6,8
MHRFds_CA1,1,1.5,2.5,3,3.5,5,6,8
MHRFmm_OR1,1.5,2,2.5,3.5,4,5.5,6.5,8
MHun1,3,3.5,4,4.5,5.5,6.5,7.5,8
MHunp1,3,3.5,4.5,5,5.5,6.5,7.5,8
MHvh1,3,4,4.5,5,6,7,8,8
MHvhp1,3.5,4,4.5,5,6,7,8,8
MHwh1,3,4,4.5,5,6,7,8,8
MHwhp1,3,4,4.5,5,6,7,8,8
MMMdk_NV1,0.5,1,1.5,2,3,4.5,6,8
MSabN1,1.5,2,2.5,3.5,4,5.5,6.5,8
MSabS1,1,2,2.5,3,3.5,5,6,8
MSdc11,2,3,3.5,4,4.5,6,7,8
MSdc21,2.5,3,3.5,4.5,5,6,7,8
MSdc31,2.5,3,3.5,4.5,5,6,7,8
MSdh_MT1,1.5,2,2.5,3.5,4,5.5,6.5,8
MSdh_UT1,0.5,1,1.5,2,3,4.5,6,8
MSdh_WY1,1,1.5,2.5,3,3.5,5,6,8
MSdk1,2,2.5,3,4,4.5,5.5,7,8
MSdk_CO1,0.5,1,2,2.5,3,5,6,8
MSdm_WA1,1,1.5,2,2.5,3.5,5,6,8
MSdm11,1.5,2,2.5,3,4,5.5,6.5,8
MSdm21,2,2.5,3,3.5,4.5,5.5,7,8
MSdm31,1,1.5,2.5,3,3.5,5,6,8
MSdv1,2.5,3,3.5,4,5,6,7,8
MSdw1,2,2.5,3,4,4.5,5.5,7,8
MSdw_MT1,2,2.5,3.5,4,4.5,6,7,8
MSmm_ID1,2,2.5,3,3.5,4.5,5.5,7,8
MSSDun_NV1,0,0,0,0,0,1,3,5
MSun1,2,2.5,3,4,4.5,5.5,7,8
MSxh_OR1,1.5,2,2.5,3.5,4,5.5,6.5,8
MSxk_WA1,1,1.5,2.5,3,3.5,5,6,8
MSxk11,1.5,2,2.5,3.5,4,5.5,6.5,8
MSxk21,1,1.5,2,2.5,3.5,5,6,8
MSxk31,1.5,2,2.5,3,4,5.5,6.5,8
MSxm_CO1,0,1,1.5,2,2.5,4.5,5.5,7.5
MSxv1,1.5,2,3,3.5,4,5.5,6.5,8
MSxx_NV1,0.5,1.5,2,2.5,3,5,6,8
OWdm_OR1,0,0,0,0.5,1,2.5,4.5,7
OWmm_OR1,0.5,1,1.5,2,3,4.5,6,8
OWun_CA1,0,0,0,0.5,1,2.5,4.5,7
PPmx_WY1,0,0,0.5,1,1.5,3,5,7
PPxh_CO1,0,0,0,0.5,1.5,3,5,7
PPxh_WA1,0,0,0.5,1,1.5,3,5,7
PPxh11,0,0,0.5,1,1.5,3,5,7
PPxh21,0,0,0.5,1,2,3.5,5.5,7.5
PPxk_OR1,0,0,0.5,1.5,2,3.5,5.5,7.5
PPxm_OR1,0,0,0,1,1.5,3,5,7
PPxw_MT1,0,0,0,0.5,1.5,3,5,7
PPxw_WY1,0,0,0.5,1,1.5,3,5,7
PPxx_OR1,0,0,0.5,1,2,3.5,5.5,7.5
SASbo1,1,1.5,2,3,3.5,5,6,8
SBAPcp1,0.5,1,1.5,2,3,4.5,6,8
SBAPfp1,0.5,1,2,2.5,3,5,6,8
SBPSdc1,0.5,1.5,2,2.5,3,5,6,8
SBPSmc1,1,1.5,2.5,3,3.5,5,6,8
SBPSmk1,1,1.5,2,3,3.5,5,6,8
SBPSxc1,0.5,1.5,2,2.5,3,5,6,8
SBSdh11,2,2.5,3,4,4.5,5.5,7,8
SBSdh21,3,3.5,4.5,5,5.5,6.5,7.5,8
SBSdk1,1,1.5,2,3,3.5,5,6,8
SBSdw11,1,1.5,2,3,3.5,5,6,8
SBSdw21,1,1.5,2,2.5,3.5,5,6,8
SBSdw31,1,2,2.5,3,3.5,5,6,8
SBSmc11,2,2.5,3,3.5,4.5,5.5,7,8
SBSmc21,1.5,2.5,3,3.5,4,5.5,6.5,8
SBSmc31,1,2,2.5,3,3.5,5,6,8
SBSmh1,1,1.5,2,2.5,3.5,5,6,8
SBSmk11,2,2.5,3.5,4,4.5,6,7,8
SBSmk21,1.5,2,2.5,3,4,5.5,6.5,8
SBSmm1,1.5,2,3,3.5,4,5.5,6.5,8
SBSmw1,1.5,2,2.5,3.5,4,5.5,6.5,8
SBSun1,2.5,3,3.5,4,5,6,7,8
SBSvk1,3,3.5,4,5,5.5,6.5,7.5,8
SBSwk11,2.5,3,4,4.5,5,6,7,8
SBSwk21,2.5,3.5,4,4.5,5,6,7,8
SBSwk31,2,2.5,3,3.5,4.5,5.5,7,8
SBSwk3a1,1.5,2,2.5,3.5,4,5.5,6.5,8
SGPdm_CO1,0,0,0,0,0,1.5,4,6.5
SWBmk1,2.5,3,3.5,4,5,6,7,8
SWBmks1,3,3.5,4,4.5,5.5,6.5,7.5,8
SWBun1,2,3,3.5,4,4.5,6,7,8
SWBuns1,2.5,3.5,4,4.5,5,6,7,8
SWBvk1,3,4,4.5,5,6,7,8,8
SWBvks1,3.5,4,4.5,5,6,7,8,8
WJPxm_OR1,0,0,0,0.5,1,2.5,4.5,7
