BGC,rSMR_0,rSMR_1,rSMR_2,rSMR_3,rSMR_4,rSMR_5,rSMR_6,rSMR_7
MSun,2,2.5,3,4,4.5,5.5,7,8
MSxh_OR,1.5,2,2.5,3.5,4,5.5,6.5,8
MSxk_WA,1,1.5,2.5,3,3.5,5,6,8
MSxk1,1.5,2,2.5,3.5,4,5.5,6.5,8
MSxk2,1,1.5,2,2.5,3.5,5,6,8
MSxk3,1.5,2,2.5,3,4,5.5,6.5,8
MSxm_CO,0,1,1.5,2,2.5,4.5,5.5,7.5
MSxv,1.5,2,3,3.5,4,5.5,6.5,8
MSxx_NV,0.5,1.5,2,2.5,3,5,6,8
OWdm_OR,0,0,0,0.5,1,2.5,4.5,7
OWmm_OR,0.5,1,1.5,2,3,4.5,6,8
OWun_CA,0,0,0,0.5,1,2.5,4.5,7
PPmx_WY,0,0,0.5,1,1.5,3,5,7
PPxh_CO,0,0,0,0.5,1.5,3,5,7
PPxh_WA,0,0,0.5,1,1.5,3,5,7
PPxh1,0,0,0.5,1,1.5,3,5,7
PPxh2,0,0,0.5,1,2,3.5,5.5,7.5
PPxk_OR,0,0,0.5,1.5,2,3.5,5.5,7.5
PPxm_OR,0,0,0,1,1.5,3,5,7
PPxw_MT,0,0,0,0.5,1.5,3,5,7
PPxw_WY,0,0,0.5,1,1.5,3,5,7
PPxx_OR,0,0,0.5,1,2,3.5,5.5,7.5
SASbo,1,1.5,2,3,3.5,5,6,8
SBAPcp,0.5,1,1.5,2,3,4.5,6,8
SBAPfp,0.5,1,2,2.5,3,5,6,8
SBPSdc,0.5,1.5,2,2.5,3,5,6,8
SBPSmc,1,1.5,2.5,3,3.5,5,6,8
SBPSmk,1,1.5,2,3,3.5,5,6,8
SBPSxc,0.5,1.5,2,2.5,3,5,6,8
SBSdh1,2,2.5,3,4,4.5,5.5,7,8
SBSdh2,3,3.5,4.5,5,5.5,6.5,7.5,8
SBSdk,1,1.5,2,3,3.5,5,6,8
SBSdw1,1,1.5,2,3,3.5,5,6,8
SBSdw2,1,1.5,2,2.5,3.5,5,6,8
SBSdw3,1,2,2.5,3,3.5,5,6,8
SBSmc1,2,2.5,3,3.5,4.5,5.5,7,8
SBSmc2,1.5,2.5,3,3.5,4,5.5,6.5,8
SBSmc3,1,2,2.5,3,3.5,5,6,8
SBSmh,1,1.5,2,2.5,3.5,5,6,8
SBSmk1,2,2.5,3.5,4,4.5,6,7,8
SBSmk2,1.5,2,2.5,3,4,5.5,6.5,8
SBSmm,1.5,2,3,3.5,4,5.5,6.5,8
SBSmw,1.5,2,2.5,3.5,4,5.5,6.5,8
SBSun,2.5,3,3.5,4,5,6,7,8
SBSvk,3,3.5,4,5,5.5,6.5,7.5,8
SBSwk1,2.5,3,4,4.5,5,6,7,8
SBSwk2,2.5,3.5,4,4.5,5,6,7,8
SBSwk3,2,2.5,3,3.5,4.5,5.5,7,8
SBSwk3a,1.5,2,2.5,3.5,4,5.5,6.5,8
SGPdm_CO,0,0,0,0,0,1.5,4,6.5
SWBmk,2.5,3,3.5,4,5,6,7,8
SWBmks,3,3.5,4,4.5,5.5,6.5,7.5,8
SWBun,2,3,3.5,4,4.5,6,7,8
SWBuns,2.5,3.5,4,4.5,5,6,7,8
SWBvk,3,4,4.5,5,6,7,8,8
SWBvks,3.5,4,4.5,5,6,7,8,8
WJPxm_OR,0,0,0,0.5,1,2.5,4.5,7
BAFAun1,3,4,4.5,5,5.5,6.5,8,8
BGdh_OR1,0,0,0,0,0.5,2,4,6.5
BGdw_OR1,0,0,0.5,1,1.5,3,5,7
BGdw_WA1,0,0,0,0,1,2.5,4.5,7
BGmk_MT1,0,0,0.5,1,1.5,3,5,7
BGmk_NV1,0,0,1,1.5,2,4,5.5,7.5
BGmm_MT1,0,0,0,0.5,1,2.5,4.5,7
